"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-23","5.14",,"0.00","0.0","0.0",,"65","51","  170","  190","10.1","17.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-24","5.37",,"0.00","0.0","0.0",,"63","48","   60","  130","14.1","21.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-25","4.92",,"0.00","0.0","0.0",,"58","46","  130","  120","12.1","18.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-26","3.36",,"0.02","0.0","0.0",,"60","52","   50","  120","10.1","18.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-27","10.51",,"0.00","0.0","0.0",,"58","41","  300","  320","19.9","32.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-28","10.29",,"0.00","0.0","0.0",,"58","40","  300","  320","21.0","34.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-29","7.83",,"0.00","0.0","0.0",,"63","41","  300","  300","18.1","25.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-30","2.91",,"0.00","0.0","0.0",,"68","44","  300","  360","13.0","19.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-01","3.13",,"0.00","0.0","0.0",,"69","47","  130","  130","13.0","19.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-02","4.70",,"0.23","0.0","0.0",,"56","51","   60","  260","12.1","17.0","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-03","5.82",,"0.00","0.0","0.0",,"62","51","   80","   50","13.0","19.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-04","2.46",,"0.08","0.0","0.0",,"65","50","   10","   90","8.9","16.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-05","4.25",,"0.00","0.0","0.0",,"74","56","   50","   20","14.1","19.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-06","3.58",,"0.69","0.0","0.0",,"61","49","   50","   50","13.0","19.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-07","10.96",,"0.92","0.0","0.0",,"50","45","   60","   50","21.9","34.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-08","11.18",,"0.00","0.0","0.0",,"58","45","   60","   60","23.9","31.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-09","11.41",,"0.00","0.0","0.0",,"70","47","   60","   60","21.0","30.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-10","10.07",,"0.00","0.0","0.0",,"73","51","   50","   50","23.0","30.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-11","5.59",,"0.00","0.0","0.0",,"75","53","   50","   50","18.1","25.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-12","4.92",,"0.00","0.0","0.0",,"75","58","   50","   80","14.1","19.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-13","4.25",,"0.03","0.0","0.0",,"72","57","   70","   60","14.1","19.0","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-14","2.91",,"0.22","0.0","0.0",,"72","60","  150","  130","8.1","14.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-15","2.24",,"0.10","0.0","0.0",,"76","60","  220","  180","8.9","16.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-16","4.92",,"0.12","0.0","0.0",,"75","61","  270","  250","15.0","23.0","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-17","6.93",,"0.00","0.0","0.0",,"77","57","  290","  290","19.9","33.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-18","4.03",,"0.01","0.0","0.0",,"72","55","  300","  290","14.1","19.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-19","2.46",,"0.73","0.0","0.0",,"66","54","  230","  140","8.9","15.0","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-20","3.58",,"0.40","0.0","0.0",,"69","55","  120","  130","10.1","17.0","    1","    1","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-21","1.57",,"0.00","0.0","0.0",,"90","62","  230","  230","8.9","14.1","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-22","4.03",,"0.00","0.0","0.0",,"89","72","  310","  310","14.1","21.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-23","6.71",,"0.00","0.0","0.0",,"73","61","   50","   40","16.1","23.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-24","4.70",,"0.00","0.0","0.0",,"67","57","   60","   60","16.1","21.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-25","2.91",,"0.00","0.0","0.0",,"70","53","  150","  130","8.9","16.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-26","3.58",,"0.00","0.0","0.0",,"70","54","  140","  120","12.1","19.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-27","2.91",,"0.27","0.0","0.0",,"80","65","  210","  170","12.1","19.9","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-28","3.36",,"0.72","0.0","0.0",,"74","63","  260","  240","21.0","42.9","    1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-29","1.79",,"0.00","0.0","0.0",,"77","59","  250","  150","8.1","14.1",,,,,,
